2024-05-16 00:56:45,637 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Configure stats pid to 8900
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Loading settings from /Users/binliu/.config/wandb/settings
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Loading settings from /Users/binliu/Documents/small_nice/wandb/wandb_proj/wandb/settings
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'wandb_proj/test.py', 'program_abspath': '/Users/binliu/Documents/small_nice/wandb/wandb_proj/test.py', 'program': '/Users/binliu/Documents/small_nice/wandb/wandb_proj/test.py'}
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_init.py:_log_setup():520] Logging user logs to /Users/binliu/Documents/small_nice/wandb/wandb_proj/wandb/run-20240516_005645-e6i798bm/logs/debug.log
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/binliu/Documents/small_nice/wandb/wandb_proj/wandb/run-20240516_005645-e6i798bm/logs/debug-internal.log
2024-05-16 00:56:45,638 INFO    MainThread:8900 [wandb_init.py:init():560] calling init triggers
2024-05-16 00:56:45,639 INFO    MainThread:8900 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2024-05-16 00:56:45,639 INFO    MainThread:8900 [wandb_init.py:init():610] starting backend
2024-05-16 00:56:45,639 INFO    MainThread:8900 [wandb_init.py:init():614] setting up manager
2024-05-16 00:56:45,641 INFO    MainThread:8900 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-05-16 00:56:45,642 INFO    MainThread:8900 [wandb_init.py:init():622] backend started and connected
2024-05-16 00:56:45,645 INFO    MainThread:8900 [wandb_init.py:init():711] updated telemetry
2024-05-16 00:56:45,667 INFO    MainThread:8900 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-16 00:56:46,009 INFO    MainThread:8900 [wandb_run.py:_on_init():2396] communicating current version
2024-05-16 00:56:46,157 INFO    MainThread:8900 [wandb_run.py:_on_init():2405] got version response 
2024-05-16 00:56:46,157 INFO    MainThread:8900 [wandb_init.py:init():795] starting run threads in backend
2024-05-16 00:56:46,794 INFO    MainThread:8900 [wandb_run.py:_console_start():2374] atexit reg
2024-05-16 00:56:46,794 INFO    MainThread:8900 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-16 00:56:46,794 INFO    MainThread:8900 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-16 00:56:46,794 INFO    MainThread:8900 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-16 00:56:46,795 INFO    MainThread:8900 [wandb_init.py:init():838] run started, returning control to user process
2024-05-16 00:56:46,796 INFO    MainThread:8900 [wandb_run.py:_finish():2103] finishing run testuser/my-awesome-project/e6i798bm
2024-05-16 00:56:46,796 INFO    MainThread:8900 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-16 00:56:46,796 INFO    MainThread:8900 [wandb_run.py:_restore():2326] restore
2024-05-16 00:56:46,796 INFO    MainThread:8900 [wandb_run.py:_restore():2332] restore done
2024-05-16 00:56:51,694 INFO    MainThread:8900 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-16 00:56:51,695 INFO    MainThread:8900 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-16 00:56:51,709 INFO    MainThread:8900 [wandb_run.py:_footer_sync_info():3953] logging synced files
